Original Term,Full Name,Standardized Abbreviation
air_pre,Flow of medical air (Pre),Air (Pre)
etdes_pre,End tidal concentration of desflurane (Pre),EtDes (Pre)
etgas_pre,End tidal concentration of anesthetic agent (Pre),EtGas (Pre)
etiso_pre,End tidal concentration of isoflurane (Pre),EtIso (Pre)
etsevo_pre,End tidal concentration of sevoflurane (Pre),EtSevo (Pre)
fio2_pre,Fraction of inspired oxygen (Pre),FiO2 (Pre)
n2o_pre,Flow of nitrous oxide (Pre),N2O (Pre)
o2_pre,Flow of oxygen (Pre),O2 (Pre)
ni_dbp_pre,Non-invasive diastolic blood pressure (Pre),DBP (Pre)
ni_mbp_pre,Non-invasive mean blood pressure (Pre),MBP (Pre)
ni_sbp_pre,Non-invasive systolic blood pressure (Pre),SBP (Pre)
bis_pre,Bispectral index (Pre),BIS (Pre)
bt_pre,Body temperature (Pre),Temperature (Pre)
cbro2_pre,Cerebral regional oxygen saturation (Pre),crSO2  (Pre)
ci_pre,Cardiac Index (Pre),CI (Pre)
cvp_pre,Central venous pressure (Pre),CVP (Pre)
hr_pre,Heart rate (Pre),HR (Pre)
minvol_pre,Minute ventilation (Pre),MV (Pre)
pap_dbp_pre,Pulmonary artery diastolic blood pressure (Pre),PA_DBP (Pre)
pap_mbp_pre,Pulmonary artery mean blood pressure (Pre),PA_MBP (Pre)
pap_sbp_pre,Pulmonary artery systolic blood pressure (Pre),PA_SBP (Pre)
spo2_pre,Peripheral oxygen saturation (Pre),SpO2 (Pre)
sti_pre,ST segment elevation in lead I (Pre),STI (Pre)
stii_pre,ST segment elevation in lead II (Pre),STII (Pre)
stiii_pre,ST segment elevation in lead III (Pre),STIII (Pre)
stv5_pre,ST segment elevation in lead V5 (Pre),STV5 (Pre)
svi_pre,Stroke volume index (Pre),SVI (Pre)
etco2_pre,End tidal concentration of carbon dioxide (Pre),EtCO2 (Pre)
peep_pre,Positive end expiratory pressure (Pre),PEEP (Pre)
pip_pre,Peak inspiratory pressure (Pre),P(peak) (Pre)
pmean_pre,Mean airway pressure (Pre),P(mean) (Pre)
pplat_pre,Plateau pressure (Pre),P(plat) (Pre)
rr_pre,Respiration rate (Pre),RR (Pre)
vt_pre,Tidal volume (Pre),VT (Pre)
dobui_pre,Rate of dobutamine continuous infusion (Pre),M_dobui (Pre)
dopai_pre,Rate of dopamine continuous infusion (Pre),M_dopai (Pre)
eph_pre,Injected dose of Ephedrine (Pre),M_eph (Pre)
epi_pre,Injected dose of Epinephrine (Pre),M_epi (Pre)
epii_pre,Rate of epinephrine continuous infusion (Pre),M_epii (Pre)
mlni_pre,Rate of milrinone continuous infusion (Pre),M_mlni (Pre)
nepi_pre,Rate of norepinephrine continuous infusion (Pre),M_nepi (Pre)
ntgi_pre,Rate of nitroglycerin continuous infusion (Pre),M_ntgi (Pre)
phe_pre,Injected dose of phenylephrine (Pre),M_phe (Pre)
vaso_pre,Injected dose of vasopressin (Pre),M_vaso (Pre)
VIS_pre,Vasoactive-inotropic score (Pre),Vasoactive-inotropic score (Pre)
aft_pre,Infused dose of alfentanil (Pre),M_aft (Pre)
ftn_pre,Injected dose of fentanyl (Pre),M_ftn (Pre)
rfti_pre,Target concentration of remifentanil (Pre),M_rfti (Pre)
sft_pre,Injected dose of sufentanil (Pre),M_sft (Pre)
mdz_pre,Injected dose of midazolam (Pre),M_mdz (Pre)
ppf_pre,Injected dose of propofol (Pre),M_ppf (Pre)
ppfi_pre,Target concentration of propofol (Pre),M_ppfi (Pre)
cryo_pre,Transfused cryoprecipitate (Pre),T_Cryo (Pre)
ffp_pre,Transfused fresh frozen plasma (Pre),T_FFP (Pre)
pc_pre,Transfused platelet concentrate (Pre),T_Platelet_c (Pre)
pheresis_pre,Transfused platelet pheresis (Pre),T_Platelet_p (Pre)
psa_pre,Infused volume of plasma solution (Pre),T_Plasma (Pre)
rbc_pre,Transfused red blood cell (Pre),T_RBC (Pre)
d10w_pre,Infused volume of Dextrose 10% water (Pre),L_Dextrose10% (Pre)
d50w_pre,Infused volume of Dextrose 50% water (Pre),L_Dextrose50% (Pre)
d5w_pre,Infused volume of Dextrose 5% water (Pre),L_Dextrose5% (Pre)
hns_pre,Infused volume of half normal saline (Pre),L_Normal_saline(half) (Pre)
hs_pre,Infused volume of Hartman solution (Pre),L_Hartman_solution (Pre)
ns_pre,Infused volume of normal saline (Pre),L_Normal_saline (Pre)
TCI_pre,Target-controlled infusion (Pre),L_Cumulative_Crystalloid (Pre)
alb20_pre,Infused volume of albumin 20% (Pre),L_Albumin20% (Pre)
alb5_pre,Infused volume of albumin 5% (Pre),L_Albumin5% (Pre)
alb_pre,Albumin (Pre),L_Albumin% (Pre)
hes_pre,Infused volume of Hydroxyethyl-starch solution (Pre),L_HES (Pre)
ebl_pre,Estimated blood loss (Pre),Blood_loss (Pre)
uo_pre,Urine output (Pre),Urine_output (Pre)
crrt_pre,Use of hemodialysis or continuous renal replacement therapy (Pre),CRRT (Pre)
ecmo_pre,Use of extracorporeal membrane oxygenator (Pre),ECMO (Pre)
iabp_pre,Intra-aortic balloon pump (Pre),IABP (Pre)
vent_pre,Use of mechanical ventilation (Pre),Vent (Pre)
gcs_e_pre,"Glasgow Coma Scale, eye response (Pre)",GCS_E (Pre)
gcs_m_pre,"Glasgow Coma Scale, motor response (Pre)",GCS_M (Pre)
gcs_v_pre,"Glasgow Coma Scale, verbal response (Pre)",GCS_V (Pre)
dt_pre,Delta time (Pre),Delta_time (Pre)
mask_air_pre,Mask for flow of medical air (Pre),mask_Air (Pre)
mask_etdes_pre,Mask for end tidal concentration of desflurane (Pre),mask_EtDes (Pre)
mask_etgas_pre,Mask for end tidal concentration of anesthetic agent (Pre),mask_EtGas (Pre)
mask_etiso_pre,Mask for end tidal concentration of isoflurane (Pre),mask_EtIso (Pre)
mask_etsevo_pre,Mask for end tidal concentration of sevoflurane (Pre),mask_EtSevo (Pre)
mask_fio2_pre,Mask for fraction of inspired oxygen (Pre),mask_FiO2 (Pre)
mask_n2o_pre,Mask for flow of nitrous oxide (Pre),mask_N2O (Pre)
mask_o2_pre,Mask for flow of oxygen (Pre),mask_O2 (Pre)
mask_art_dbp_pre,Mask for arterial diastolic blood pressure (Pre),mask_DBP (Pre)
mask_art_mbp_pre,Mask for arterial mean blood pressure (Pre),mask_MBP (Pre)
mask_art_sbp_pre,Mask for arterial systolic blood pressure (Pre),mask_SBP (Pre)
mask_bis_pre,Mask for bispectral index (Pre),mask_BIS (Pre)
mask_bt_pre,Mask for body temperature (Pre),mask_Temperature (Pre)
mask_cbro2_pre,Mask for cerebral regional oxygen saturation (Pre),mask_crSO2 (Pre)
mask_ci_pre,Mask for cardiac index (Pre),mask_CI (Pre)
mask_cvp_pre,Mask for central venous pressure (Pre),mask_CVP (Pre)
mask_hr_pre,Mask for heart rate (Pre),mask_HR (Pre)
mask_minvol_pre,Mask for minute ventilation (Pre),mask_MV (Pre)
mask_pap_dbp_pre,Mask for pulmonary artery diastolic blood pressure (Pre),mask_PA_DBP (Pre)
mask_pap_mbp_pre,Mask for pulmonary artery mean blood pressure (Pre),mask_PA_MBP (Pre)
mask_pap_sbp_pre,Mask for pulmonary artery systolic blood pressure (Pre),mask_PA_SBP (Pre)
