Original Term,Full Name,Standardized Abbreviation
be_post,Base Excess (Post),BE (Post)
hco3_post,Bicarbonate (Post),HCO3 (Post)
paco2_post,Partial Pressure of Carbon Dioxide (Post),PaCO2 (Post)
pao2_post,Partial Pressure of Oxygen (Post),PaO2 (Post)
ph_post,pH (Post),pH (Post)
sao2_post,Oxygen Saturation (Post),SpO2 (Post)
hb_post,Hemoglobin (Post),Hb (Post)
hct_post,Hematocrit (Post),Hct (Post)
lymphocyte_post,Lymphocyte Count (Post),Lymph Count (Post)
platelet_post,Platelet Count (Post),Plt Count (Post)
wbc_post,White Blood Cell Count (Post),WBC (Post)
albumin_post,Albumin (Post),Alb (Post)
alp_post,Alkaline Phosphatase (Post),ALP (Post)
alt_post,Alanine Transaminase (Post),ALT (Post)
ast_post,Aspartate Transaminase (Post),AST (Post)
bun_post,Blood Urea Nitrogen (Post),BUN (Post)
calcium_post,Calcium (Post),Ca (Post)
chloride_post,Chloride (Post),Cl (Post)
ck_post,Creatine Kinase (Post),CK (Post)
creatinine_post,Creatinine (Post),CRE (Post)
glucose_post,Glucose (Post),Glu (Post)
lacate_post,Lactate (Post),Lac (Post)
phosphorus_post,Phosphorus (Post),P (Post)
potassium_post,Potassium (Post),K (Post)
sodium_post,Sodium (Post),Na (Post)
total_bilirubin_post,Total Bilirubin (Post),TBIL (Post)
total_protein_post,Total Protein (Post),TP (Post)
aptt_post,Activated Partial Thromboplastin Time (Post),APTT (Post)
d_dimer_post,D-dimer (Post),D-Dimer (Post)
fibrinogen_post,Fibrinogen (Post),FIB (Post)
ptinr_post,Prothrombin Time (Post),INR (Post)
ckmb_post,Creatine Kinase-MB (Post),CK-MB (Post)
crp_post,High-sensitive C-reactive Protein (Post),hs-CRP (Post)
hba1c_post,Hemoglobin A1c (Post),HbA1c (Post)
troponin_i_post,Troponin-I (Post),TnI (Post)
troponin_t_post,Troponin-T (Post),TnT (Post)
mask_be_post,Mask for Base Excess (Post),mask_BE (Post)
mask_hco3_post,Mask for Bicarbonate (Post),mask_HCO3 (Post)
mask_paco2_post,Mask for Partial Pressure of Carbon Dioxide (Post),mask_PaCO2 (Post)
mask_pao2_post,Mask for Partial Pressure of Oxygen (Post),mask_PaO2 (Post)
mask_ph_post,Mask for pH (Post),mask_pH (Post)
mask_sao2_post,Mask for Oxygen Saturation (Post),mask_SpO2 (Post)
mask_hb_post,Mask for Hemoglobin (Post),mask_Hb (Post)
mask_hct_post,Mask for Hematocrit (Post),mask_Hct (Post)
mask_lymphocyte_post,Mask for Lymphocyte Count (Post),mask_Lymph Count (Post)
mask_platelet_post,Mask for Platelet Count (Post),mask_Plt Count (Post)
mask_wbc_post,Mask for White Blood Cell Count (Post),mask_WBC (Post)
mask_albumin_post,Mask for Albumin (Post),mask_Alb (Post)
mask_alp_post,Mask for Alkaline Phosphatase (Post),mask_ALP (Post)
mask_alt_post,Mask for Alanine Transaminase (Post),mask_ALT (Post)
mask_ast_post,Mask for Aspartate Transaminase (Post),mask_AST (Post)
mask_bun_post,Mask for Blood Urea Nitrogen (Post),mask_BUN (Post)
mask_calcium_post,Mask for Calcium (Post),mask_Ca (Post)
mask_chloride_post,Mask for Chloride (Post),mask_Cl (Post)
mask_ck_post,Mask for Creatine Kinase (Post),mask_CK (Post)
mask_creatinine_post,Mask for Creatinine (Post),mask_CRE (Post)
mask_glucose_post,Mask for Glucose (Post),mask_Glu (Post)
mask_lacate_post,Mask for Lactate (Post),mask_Lac (Post)
mask_phosphorus_post,Mask for Phosphorus (Post),mask_P (Post)
mask_potassium_post,Mask for Potassium (Post),mask_K (Post)
mask_sodium_post,Mask for Sodium (Post),mask_Na (Post)
mask_total_bilirubin_post,Mask for Total Bilirubin (Post),mask_TBIL (Post)
mask_total_protein_post,Mask for Total Protein (Post),mask_TP (Post)
mask_aptt_post,Mask for Activated Partial Thromboplastin Time (Post),mask_APTT (Post)
mask_d_dimer_post,Mask for D-dimer (Post),mask_D-Dimer (Post)
mask_fibrinogen_post,Mask for Fibrinogen (Post),mask_FIB (Post)
mask_ptinr_post,Mask for Prothrombin Time (Post),mask_INR (Post)
mask_ckmb_post,Mask for Creatine Kinase-MB (Post),mask_CK-MB (Post)
mask_crp_post,Mask for High-sensitive C-reactive Protein (Post),mask_hs-CRP (Post)
mask_hba1c_post,Mask for Hemoglobin A1c (Post),mask_HbA1c (Post)
mask_troponin_i_post,Mask for Troponin-I (Post),mask_TnI (Post)
mask_troponin_t_post,Mask for Troponin-T (Post),mask_TnT (Post)
op_duration_post,Operation Duration,Operation Duration
or_duration_post,Operating Room Duration,Operating Room Duration
an_duration_post,Anesthesia Duration,Anesthesia Duration
cpb_duration_post,Cardiopulmonary Bypass Duration,Cardiopulmonary Bypass Duration
