Original Term,Full Name,Standardized Abbreviation
air_post,Flow of medical air (Post),Air (Post)
etdes_post,End tidal concentration of desflurane (Post),EtDes (Post)
etgas_post,End tidal concentration of anesthetic agent (Post),EtGas (Post)
etiso_post,End tidal concentration of isoflurane (Post),EtIso (Post)
etsevo_post,End tidal concentration of sevoflurane (Post),EtSevo (Post)
fio2_post,Fraction of inspired oxygen (Post),FiO2 (Post)
n2o_post,Flow of nitrous oxide (Post),N2O (Post)
o2_post,Flow of oxygen (Post),O2 (Post)
ni_dbp_post,Non-invasive diastolic blood pressure (Post),DBP (Post)
ni_mbp_post,Non-invasive mean blood pressure (Post),MBP (Post)
ni_sbp_post,Non-invasive systolic blood pressure (Post),SBP (Post)
bis_post,Bispectral index (Post),BIS (Post)
bt_post,Body temperature (Post),Temperature (Post)
cbro2_post,Cerebral regional oxygen saturation (Post),crSO2  (Post)
ci_post,Cardiac Index (Post),CI (Post)
cvp_post,Central venous pressure (Post),CVP (Post)
hr_post,Heart rate (Post),HR (Post)
minvol_post,Minute ventilation (Post),MV (Post)
pap_dbp_post,Pulmonary artery diastolic blood pressure (Post),PA_DBP (Post)
pap_mbp_post,Pulmonary artery mean blood pressure (Post),PA_MBP (Post)
pap_sbp_post,Pulmonary artery systolic blood pressure (Post),PA_SBP (Post)
spo2_post,Peripheral oxygen saturation (Post),SpO2 (Post)
sti_post,ST segment elevation in lead I (Post),STI (Post)
stii_post,ST segment elevation in lead II (Post),STII (Post)
stiii_post,ST segment elevation in lead III (Post),STIII (Post)
stv5_post,ST segment elevation in lead V5 (Post),STV5 (Post)
svi_post,Stroke volume index (Post),SVI (Post)
etco2_post,End tidal concentration of carbon dioxide (Post),EtCO2 (Post)
peep_post,Positive end expiratory pressure (Post),PEEP (Post)
pip_post,Peak inspiratory pressure (Post),P(peak) (Post)
pmean_post,Mean airway pressure (Post),P(mean) (Post)
pplat_post,Plateau pressure (Post),P(plat) (Post)
rr_post,Respiration rate (Post),RR (Post)
vt_post,Tidal volume (Post),VT (Post)
dobui_post,Rate of dobutamine continuous infusion (Post),M_dobui (Post)
dopai_post,Rate of dopamine continuous infusion (Post),M_dopai (Post)
eph_post,Injected dose of Ephedrine (Post),M_eph (Post)
epi_post,Injected dose of Epinephrine (Post),M_epi (Post)
epii_post,Rate of epinephrine continuous infusion (Post),M_epii (Post)
